رقم السجل,اسم النشاط,الفئة الرئيسية,التصنيف الفرعي,نوع النشاط الأصلي,التصنيف الأصلي,المدينة,المدينة / القرية,العنوان,الهاتف,واتساب,فيسبوك,إنستغرام,الموقع الإلكتروني,مواعيد العمل,تقييم جوجل,عدد مراجعات جوجل,نطاق الأسعار,معرّف المكان في جوجل,رابط خرائط جوجل,الوصف,معلومات الأسعار,الصور,نشاط إلكتروني فقط,موثّق,المصدر,نوع المصدر,تاريخ الجمع,خط العرض,خط الطول
13,جريندر كافيه ومطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,,بنها,,الفلل، شارع 4 خلف مسلم كافيه,20133232931.0,,,,,الجمعة 12م–2ص، السبت 9ص–1ص، الأحد–الأربعاء 9ص–1ص، الخميس 9ص–2ص,4.5,119.0,200–400 جنيه,ChIJiQug8Obf9xQRs6YbaMtAeCU,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
14,Martin juice,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,Juice shop,حلويات ومشروبات,Banha,,"F5HH+FRG, امام نادي القوات المسلحة, آخر, Egypt",,,,,,,4.9,20.0,,ChIJqdJsagDf9xQR98AhI5XfE2c,https://www.جوجل.com/maps/search/?api=1&query=Martin%20juice%20F5HH%2BFRG%2C%20%D8%A7%D9%85%D8%A7%D9%85%20%D9%86%D8%A7%D8%AF%D9%8A%20%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D8%AD%D8%A9%2C%20%D8%A2%D8%AE%D8%B1%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
15,Gelato Italian Trifillo 🇮🇹,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,Ice cream shop,حلويات ومشروبات,Banha,,"45, Al-Qalyubia Governorate 13511, Egypt",201030891924.0,,,,,,4.9,12.0,,ChIJd_xcV7Lf9xQR4yNiappKb4k,https://www.جوجل.com/maps/search/?api=1&query=Gelato%20Italian%20Trifillo%20%F0%9F%87%AE%F0%9F%87%B9%2045%2C%20Al-Qalyubia%20Governorate%2013511%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
16,Ice cream omaya آيس كريم اميه فرع بنها,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,Ice cream shop,حلويات ومشروبات,Banha,,"امتداد شارع الموقف أمام صيدليه د /محمد زين, Banha, Al-Qalyubia Governorate, Egypt",201097003680.0,,,,,,4.5,10.0,,ChIJI4ETdMvf9xQR68w8-ShsXhk,https://www.جوجل.com/maps/search/?api=1&query=Ice%20cream%20omaya%20%D8%A2%D9%8A%D8%B3%20%D9%83%D8%B1%D9%8A%D9%85%20%D8%A7%D9%85%D9%8A%D9%87%20%D9%81%D8%B1%D8%B9%20%D8%A8%D9%86%D9%87%D8%A7%20%D8%A7%D9%85%D8%AA%D8%AF%D8%A7%D8%AF%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D9%85%D9%88%D9%82%D9%81%20%D8%A3%D9%85%D8%A7%D9%85%20%D8%B5%D9%8A%D8%AF%D9%84%D9%8A%D9%87%20%D8%AF%20/%D9%85%D8%AD%D9%85%D8%AF%20%D8%B2%D9%8A%D9%86%2C%20Banha%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
17,CAVE CAFE & PS,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,كافيه,كافيهات,Banha,,"F5FH+HJV, الفلل _, Mecca, Al-Qalyubia Governorate, Egypt",201094475440.0,,,,,,5.0,6.0,,ChIJs0l8cobf9xQRZzDc7n559Q0,https://www.جوجل.com/maps/search/?api=1&query=CAVE%20CAFE%20%26%20PS%20F5FH%2BHJV%2C%20%D8%A7%D9%84%D9%81%D9%84%D9%84%20_%2C%20Mecca%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
18,LiLo,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,كافيه,Banha,,"شارع 5 الكورنيش, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470124, Egypt",,,,,,,4.8,4.0,,ChIJkdzkRADf9xQRtNHHNyX-1sM,https://www.جوجل.com/maps/search/?api=1&query=LiLo%20%D8%B4%D8%A7%D8%B1%D8%B9%205%20%D8%A7%D9%84%D9%83%D9%88%D8%B1%D9%86%D9%8A%D8%B4%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470124%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
19,Davero Pizzeria,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,Pizza restaurant,Banha,,"26, Mohammed Ateya Mansour Street, Banha, Egypt",201285634443.0,,,,,,4.5,2.0,,6621905,https://www.جوجل.com/maps/search/?api=1&query=Davero%20Pizzeria%2026%2C%20Mohammed%20Ateya%20Mansour%20Street%2C%20Banha%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
20,Refaey,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,,مطعم,Banha,,"Qism Banha, Banha, Al-Qalyubia Governorate, Egypt",,,,,,,5.0,1.0,,ChIJNb68GHV2WBQRboNHaYa2fxY,https://www.جوجل.com/maps/search/?api=1&query=Refaey%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
21,Abou El Goud مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"54 Abdel Hafez St., Kafr Manaqer, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
22,Abou Ghazala مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Abou El Saud Bldg., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
23,Aly Abou El Dahab Bakery,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Gamil St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
24,BBQ مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطعم,مشويات/مطاعم,,كفر الجزار,الطريق السريع أمام كازيون,201201508100.0,,,,,,,,,,,,,,False,False,مطعم Guru,,,,
25,Caviar مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"1 Corniche El Nil St., Villas Zone, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
26,El 3ndlib كافيه,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Mostashfa El Amal St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
27,El Alamain مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Villa 12 El Mahdy St., Villas Zone, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
28,El Ghamry مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"5 Farid Nada St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
29,El Ordony مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Sidi Abdel Rahman St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
30,El Qersh مطعم,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"54 Abdel Hafez St., Kafr Manaqer, Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
31,El Rawda El Sharifa Bakery,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"Seif El Nasr St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
35,حلواني الخديوي - فرع كفر الجزار,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,حلواني,حلويات,,كفر الجزار,الطريق السريع - بجوار صيدلية أحمد سمير,201091841705.0,,,,,,,,,,,,,,False,False,Foodyas,,,,
36,كافيه Cheno,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطاعم,,,مدينة بنها,"15 Saad Zaghloul St., Banha",,,,,,,,,,,,,,,False,False,Egypt Yellow Pages,,2026-09-18,,
37,مطعم العربي,🍔 المطاعم والكافيهات,مطاعم وكافيهات وحلويات,مطعم,مطاعم,,كفر الجزار,بنها - كفر الجزار,201201053676.0,,,,,,,,,,,,,,False,False,Bizmideast,,,,
38,مول الأهرام للأجهزة الكهربائية و الأدوات المنزلية,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,متجر أجهزة,أجهزة وأدوات منزلية,Banha,,"شارع الكوبري, Qism Banha, Banha, Al-Qalyubia Governorate 13015, Egypt",20133250240.0,,,,,,4.3,1259.0,,ChIJzWw22Gt1WBQRhBFmOmXpIxo,https://www.جوجل.com/maps/search/?api=1&query=%D9%85%D9%88%D9%84%20%D8%A7%D9%84%D8%A3%D9%87%D8%B1%D8%A7%D9%85%20%D9%84%D9%84%D8%A3%D8%AC%D9%87%D8%B2%D8%A9%20%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9%20%D9%88%20%D8%A7%D9%84%D8%A3%D8%AF%D9%88%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9%20%D8%B4%D8%A7%D8%B1%D8%B9%20%D8%A7%D9%84%D9%83%D9%88%D8%A8%D8%B1%D9%8A%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%2013015%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
39,شندى للادوات الكهربائية,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,,متجر أجهزة,Banha,,"Abd Allah Mohammed ATA, Qism Banha, Banha, Al-Qalyubia Governorate 6460242, Egypt",20133250240.0,,,,,,4.2,326.0,,ChIJ2znecvh1WBQRp7CW_DJnS00,https://www.جوجل.com/maps/search/?api=1&query=%D8%B4%D9%86%D8%AF%D9%89%20%D9%84%D9%84%D8%A7%D8%AF%D9%88%D8%A7%D8%AA%20%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D8%A7%D8%A6%D9%8A%D8%A9%20Abd%20Allah%20Mohammed%20ATA%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460242%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
40,Our Home Furniture,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,أثاث,أثاث,Banha,,بجوار مستشفى الأمل,201004977739.0,,,,,,4.4,42.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
41,هوم فورنيتشر للأثاث,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,,,بنها,,منطقة مستشفى الأمل، قسم بنها,201004977739.0,,,,,,4.4,42.0,,ChIJ7QBAtVDf9xQR8gV-_8PWrpc,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
42,Andalus Trading Company (Appliances),🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,متجر أجهزة,أجهزة وأدوات منزلية,Banha,,"شركة الاندلس للاجهزه الكهربيه والمنزليه, ATA, Qism Banha, Banha, Al-Qalyubia Governorate 6460238, Egypt",201005207651.0,,,,,,3.4,9.0,,ChIJraftndjY9xQRuJPjF5PTfGc,https://www.جوجل.com/maps/search/?api=1&query=Andalus%20Trading%20Company%20%28Appliances%29%20%D8%B4%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%84%D8%B3%20%D9%84%D9%84%D8%A7%D8%AC%D9%87%D8%B2%D9%87%20%D8%A7%D9%84%D9%83%D9%87%D8%B1%D8%A8%D9%8A%D9%87%20%D9%88%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D9%87%2C%20ATA%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206460238%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
43,وايت هوم للدوات المنزلية White Home,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,Kitchen supply store,أجهزة وأدوات منزلية,Banha,,"Qism Banha, Banha, Al-Qalyubia Governorate 6470104, Egypt",201101151561.0,,,,,,5.0,7.0,,ChIJxaPSUB3f9xQR2seKqrwJt5U,https://www.جوجل.com/maps/search/?api=1&query=%D9%88%D8%A7%D9%8A%D8%AA%20%D9%87%D9%88%D9%85%20%D9%84%D9%84%D8%AF%D9%88%D8%A7%D8%AA%20%D8%A7%D9%84%D9%85%D9%86%D8%B2%D9%84%D9%8A%D8%A9%20White%20Home%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470104%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
44,الحطاب للاثاث,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,متجر أثاث,أثاث,Banha,,"عمارة شركة غاز مصر, 196 شارع 4, حى, Banha 2, Al-Qalyubia Governorate 13512, Egypt",201107997979.0,,,,,,5.0,1.0,,ChIJmZpdDX3f9xQRNqXGWcOLQKA,https://www.جوجل.com/maps/search/?api=1&query=%D8%A7%D9%84%D8%AD%D8%B7%D8%A7%D8%A8%20%D9%84%D9%84%D8%A7%D8%AB%D8%A7%D8%AB%20%D8%B9%D9%85%D8%A7%D8%B1%D8%A9%20%D8%B4%D8%B1%D9%83%D8%A9%20%D8%BA%D8%A7%D8%B2%20%D9%85%D8%B5%D8%B1%2C%20196%20%D8%B4%D8%A7%D8%B1%D8%B9%204%2C%20%D8%AD%D9%89%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%2013512%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
46,الحطاب للأثاث,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,معرض أثاث,أثاث,,مدينة بنها,عمارة شركة غاز مصر - 196 شارع 4,201107997979.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
47,الشاعر للأثاث بنها,🏠 الأثاث والأجهزة المنزلية,أثاث وأجهزة منزلية,معرض أثاث,أثاث,,مدينة بنها,كوبري الفحص - شارع الكورنيش,20133208126.0,,,,,,,,,,,,,,False,False,جوجل خرائط local listing,,,,
48,عيادة إييڤ د.هبه حافظ,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,جلدية,جلدية,Banha,,قسم بنها، بنها 2,201288090397.0,,,,,,4.7,452.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
49,عيادة إييڤ د.هبه حافظ افضل طبيبه امراض جلديه في بنها Dr. Heba Hafez Best Dermatologist in Banha EVE Clinic,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,Dermatologist,عيادات ومراكز طبية,Banha,,"Qism Banha, Banha 2, Al-Qalyubia Governorate 13511, Egypt",201288090397.0,,,,,,4.7,452.0,,ChIJkRoQ-YXf9xQRb7W6jVIm_3w,https://www.جوجل.com/maps/search/?api=1&query=%D8%B9%D9%8A%D8%A7%D8%AF%D8%A9%20%D8%A5%D9%8A%D9%8A%DA%A4%20%D8%AF.%D9%87%D8%A8%D9%87%20%D8%AD%D8%A7%D9%81%D8%B8%20%D8%A7%D9%81%D8%B6%D9%84%20%D8%B7%D8%A8%D9%8A%D8%A8%D9%87%20%D8%A7%D9%85%D8%B1%D8%A7%D8%B6%20%D8%AC%D9%84%D8%AF%D9%8A%D9%87%20%D9%81%D9%8A%20%D8%A8%D9%86%D9%87%D8%A7%20Dr.%20Heba%20Hafez%20Best%20Dermatologist%20in%20Banha%20EVE%20Clinic%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%2013511%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
50,Banha University Hospital,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,,University hospital,Banha,,"F5CH+4F2, El-Shaheed Farid Nada, Qism Banha, Banha 2, Al-Qalyubia Governorate 6470031, Egypt",20133231011.0,,,,,,3.5,200.0,,ChIJtxV1PlHf9xQR63J5KjkhVe8,https://www.جوجل.com/maps/search/?api=1&query=Banha%20University%20Hospital%20F5CH%2B4F2%2C%20El-Shaheed%20Farid%20Nada%2C%20Qism%20Banha%2C%20Banha%202%2C%20Al-Qalyubia%20Governorate%206470031%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
51,Pet planet vet clinic,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,,Veterinarian,Banha,,"Alish, Qism Banha, Banha, Al-Qalyubia Governorate 6470104, Egypt",201204624898.0,,,,,,4.7,82.0,,ChIJ5RjlJn_f9xQRewF55MIYtwE,https://www.جوجل.com/maps/search/?api=1&query=Pet%20planet%20vet%20clinic%20Alish%2C%20Qism%20Banha%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206470104%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
52,Royal pet clinic,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,Animal hospital,Animal hospital,Banha,,"ElFahs, Banha, Al-Qalyubia Governorate 6487010, Egypt",201064595914.0,,,,,,5.0,66.0,,ChIJ57Vng6jf9xQRrn0oTqCdnHQ,https://www.جوجل.com/maps/search/?api=1&query=Royal%20pet%20clinic%20ElFahs%2C%20Banha%2C%20Al-Qalyubia%20Governorate%206487010%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
53,InShape Clinic Banha,🏥 العيادات والمراكز الطبية,عيادات ومراكز طبية ومستشفيات,Medical Center,عيادات ومراكز طبية,Banha,,"خلف مدرسه الشبان المسلمين, برج الياسمين فوق ماكدونالد, Al-Qalyubia Governorate 13511, Egypt",20221266800.0,,,,,,4.8,34.0,,ChIJTS2sc9nf9xQRlC3NtapTS4w,https://www.جوجل.com/maps/search/?api=1&query=InShape%20Clinic%20Banha%20%D8%AE%D9%84%D9%81%20%D9%85%D8%AF%D8%B1%D8%B3%D9%87%20%D8%A7%D9%84%D8%B4%D8%A8%D8%A7%D9%86%20%D8%A7%D9%84%D9%85%D8%B3%D9%84%D9%85%D9%8A%D9%86%2C%20%D8%A8%D8%B1%D8%AC%20%D8%A7%D9%84%D9%8A%D8%A7%D8%B3%D9%85%D9%8A%D9%86%20%D9%81%D9%88%D9%82%20%D9%85%D8%A7%D9%83%D8%AF%D9%88%D9%86%D8%A7%D9%84%D8%AF%2C%20Al-Qalyubia%20Governorate%2013511%2C%20Egypt,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
55,Curva - Banha,👗 محلات الملابس والأحذية,ملابس وأحذية,ملابس رياضية,ملابس رياضية,Banha,,19 شارع النادي الرياضي,201033359159.0,,,,,,4.9,437.0,,,,,,,,False,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
56,الصبيلي,👗 محلات الملابس والأحذية,ملابس وأحذية,,,بنها,,قسم بنها، بنها,,,,,,الجمعة 12م–6م، السبت–الخميس 10ص–10م,4.0,179.0,,ChIJLexyifp1WBQRuuYTV6-ksbc,,,,,,لا,جوجل للأعمال / خرائط جوجل,ملف نشاط تجاري على جوجل,2026-09-18,,
